n_qubits,depth,gate_count,two_qubit_ratio,two_qubit_gates,fidelity,robust_fidelity,total_error_rate,classical_shadow_expr,entropy_expressibility,angle_entropy,entropy,concentration,state_exploration,entanglement_potential,circuit_complexity,quantum_volume,performance_per_complexity,shot_efficiency,expressibility_ratio,complexity_per_qubit,performance_score
10,3,0,0.300000,0,0.093750,0.478618,0.906250,31.413398,1.262581,1.262581,0,0,0.000000,0.900000,0,9,478618.421053,478.618421,0.040192,0.000000,0.604295
10,3,0,0.300000,0,0.093750,0.478618,0.906250,31.413398,1.262581,1.262581,0,0,0.000000,0.900000,0,9,478618.421053,478.618421,0.040192,0.000000,0.604295
60,4,0,0.100000,0,0.007401,0.732730,0.992599,24.230133,1.255395,1.255395,0,0,0.000000,0.400000,0,16,732730.263158,732.730263,0.051811,0.000000,0.919866
60,4,0,0.100000,0,0.007401,0.732730,0.992599,24.230133,1.255395,1.255395,0,0,0.000000,0.400000,0,16,732730.263158,732.730263,0.051811,0.000000,0.919866
60,3,0,0.100000,0,0.031250,0.967105,0.968750,23.179120,1.250730,1.250730,0,0,0.000000,0.300000,0,9,967105.263158,967.105263,0.053959,0.000000,1.209587
60,3,0,0.100000,0,0.031250,0.967105,0.968750,23.179120,1.250730,1.250730,0,0,0.000000,0.300000,0,9,967105.263158,967.105263,0.053959,0.000000,1.209587
7,4,0,0.500000,0,0.180921,0.468750,0.819079,16.337770,1.244409,1.244409,0,0,0.000000,2.000000,0,16,468750.000000,468.750000,0.076168,0.000000,0.583317
7,4,0,0.500000,0,0.180921,0.468750,0.819079,16.337770,1.244409,1.244409,0,0,0.000000,2.000000,0,16,468750.000000,468.750000,0.076168,0.000000,0.583317
10,2,0,0.500000,0,0.145559,0.564145,0.854441,37.237454,1.242931,1.242931,0,0,0.000000,1.000000,0,4,564144.736842,564.144737,0.033379,0.000000,0.701193
10,2,0,0.500000,0,0.145559,0.564145,0.854441,37.237454,1.242931,1.242931,0,0,0.000000,1.000000,0,4,564144.736842,564.144737,0.033379,0.000000,0.701193
10,2,0,0.300000,0,0.143914,0.531250,0.856086,36.903479,1.241294,1.241294,0,0,0.000000,0.600000,0,4,531250.000000,531.250000,0.033636,0.000000,0.659437
10,2,0,0.300000,0,0.143914,0.531250,0.856086,36.903479,1.241294,1.241294,0,0,0.000000,0.600000,0,4,531250.000000,531.250000,0.033636,0.000000,0.659437
60,4,0,0.100000,0,0.009868,0.808388,0.990132,22.327596,1.234287,1.234287,0,0,0.000000,0.400000,0,16,808388.157895,808.388158,0.055281,0.000000,0.997783
60,4,0,0.100000,0,0.009868,0.808388,0.990132,22.327596,1.234287,1.234287,0,0,0.000000,0.400000,0,16,808388.157895,808.388158,0.055281,0.000000,0.997783
60,2,0,0.500000,0,0.002467,0.666941,0.997533,24.218696,1.228585,1.228585,0,0,0.000000,1.000000,0,4,666940.789474,666.940789,0.050729,0.000000,0.819393
60,2,0,0.500000,0,0.002467,0.666941,0.997533,24.218696,1.228585,1.228585,0,0,0.000000,1.000000,0,4,666940.789474,666.940789,0.050729,0.000000,0.819393
60,3,0,0.300000,0,0.012336,0.864309,0.987664,22.846365,1.227415,1.227415,0,0,0.000000,0.900000,0,9,864309.210526,864.309211,0.053725,0.000000,1.060866
60,3,0,0.300000,0,0.012336,0.864309,0.987664,22.846365,1.227415,1.227415,0,0,0.000000,0.900000,0,9,864309.210526,864.309211,0.053725,0.000000,1.060866
60,3,0,0.300000,0,0.018914,0.882401,0.981086,24.770023,1.224729,1.224729,0,0,0.000000,0.900000,0,9,882401.315789,882.401316,0.049444,0.000000,1.080703
60,3,0,0.300000,0,0.018914,0.882401,0.981086,24.770023,1.224729,1.224729,0,0,0.000000,0.900000,0,9,882401.315789,882.401316,0.049444,0.000000,1.080703
60,2,0,0.100000,0,0.000000,0.752467,1.000000,19.524560,1.224639,1.224639,0,0,0.000000,0.200000,0,4,752467.105263,752.467105,0.062723,0.000000,0.921501
60,2,0,0.100000,0,0.000000,0.752467,1.000000,19.524560,1.224639,1.224639,0,0,0.000000,0.200000,0,4,752467.105263,752.467105,0.062723,0.000000,0.921501
60,3,0,0.100000,0,0.000822,0.653783,0.999178,23.555029,1.213904,1.213904,0,0,0.000000,0.300000,0,9,653782.894737,653.782895,0.051535,0.000000,0.793630
60,3,0,0.100000,0,0.000822,0.653783,0.999178,23.555029,1.213904,1.213904,0,0,0.000000,0.300000,0,9,653782.894737,653.782895,0.051535,0.000000,0.793630
60,4,0,0.100000,0,0.000822,0.764803,0.999178,24.710347,1.206832,1.206832,0,0,0.000000,0.400000,0,16,764802.631579,764.802632,0.048839,0.000000,0.922989
60,4,0,0.100000,0,0.000822,0.764803,0.999178,24.710347,1.206832,1.206832,0,0,0.000000,0.400000,0,16,764802.631579,764.802632,0.048839,0.000000,0.922989
60,3,0,0.300000,0,0.003289,0.652961,0.996711,23.663586,1.199640,1.199640,0,0,0.000000,0.900000,0,9,652960.526316,652.960526,0.050696,0.000000,0.783318
60,3,0,0.300000,0,0.003289,0.652961,0.996711,23.663586,1.199640,1.199640,0,0,0.000000,0.900000,0,9,652960.526316,652.960526,0.050696,0.000000,0.783318
60,2,0,0.100000,0,0.000822,0.708882,0.999178,20.008759,1.192381,1.192381,0,0,0.000000,0.200000,0,4,708881.578947,708.881579,0.059593,0.000000,0.845257
60,2,0,0.100000,0,0.000822,0.708882,0.999178,20.008759,1.192381,1.192381,0,0,0.000000,0.200000,0,4,708881.578947,708.881579,0.059593,0.000000,0.845257
60,4,0,0.100000,0,0.009868,0.756579,0.990132,22.353690,1.180451,1.180451,0,0,0.000000,0.400000,0,16,756578.947368,756.578947,0.052808,0.000000,0.893105
